phoneme,prev_lexeme,lexeme,freq_unweighted,prob_unweighted,freq_weighted,prob_weighted
ee,ου,ι,92,0.5859872611464968,1144,0.15216812982176112
ee,ου,η,44,0.2802547770700637,5707,0.7591114658153765
ee,ου,υ,7,0.044585987261146494,7,0.000931098696461825
ee,ου,ει,13,0.08280254777070063,658,0.08752327746741155
ee,ου,οι,1,0.006369426751592357,2,0.00026602819898909286
ee,ου,υι,0,0.0,0,0.0
ee,η,ι,22,0.2268041237113402,29,0.03135135135135135
ee,η,η,32,0.32989690721649484,35,0.03783783783783784
ee,η,υ,36,0.3711340206185567,854,0.9232432432432433
ee,η,ει,6,0.061855670103092786,6,0.006486486486486486
ee,η,οι,1,0.010309278350515464,1,0.001081081081081081
ee,η,υι,0,0.0,0,0.0
ee,υι,ι,0,0.0,0,0.0
ee,υι,η,0,0.0,0,0.0
ee,υι,υ,0,0.0,0,0.0
ee,υι,ει,0,0.0,0,0.0
ee,υι,οι,1,1.0,1,1.0
ee,υι,υι,0,0.0,0,0.0
ee,αυ,ι,3,0.3333333333333333,15,0.03579952267303103
ee,αυ,η,3,0.3333333333333333,4,0.00954653937947494
ee,αυ,υ,0,0.0,0,0.0
ee,αυ,ει,3,0.3333333333333333,400,0.954653937947494
ee,αυ,οι,0,0.0,0,0.0
ee,αυ,υι,0,0.0,0,0.0
ee,µ,ι,8,0.6153846153846154,13,0.6842105263157895
ee,µ,η,5,0.38461538461538464,6,0.3157894736842105
ee,µ,υ,0,0.0,0,0.0
ee,µ,ει,0,0.0,0,0.0
ee,µ,οι,0,0.0,0,0.0
ee,µ,υι,0,0.0,0,0.0
ee,ς,ι,6,0.20689655172413793,6,0.18181818181818182
ee,ς,η,8,0.27586206896551724,12,0.36363636363636365
ee,ς,υ,4,0.13793103448275862,4,0.12121212121212122
ee,ς,ει,5,0.1724137931034483,5,0.15151515151515152
ee,ς,οι,6,0.20689655172413793,6,0.18181818181818182
ee,ς,υι,0,0.0,0,0.0
ee,ϋ,ι,15,0.6521739130434783,17,0.6538461538461539
ee,ϋ,η,2,0.08695652173913043,3,0.11538461538461539
ee,ϋ,υ,1,0.043478260869565216,1,0.038461538461538464
ee,ϋ,ει,4,0.17391304347826086,4,0.15384615384615385
ee,ϋ,οι,1,0.043478260869565216,1,0.038461538461538464
ee,ϋ,υι,0,0.0,0,0.0
eh,κ,ε,6533,0.8949315068493151,489443,0.2525492644516798
eh,κ,αι,767,0.10506849315068494,1448567,0.7474507355483202
eh,τ,ε,14678,0.7458333333333333,1238830,0.7059266658651011
eh,τ,αι,5002,0.25416666666666665,516069,0.29407333413489894
eh,^,ε,21090,0.9671650004585893,3553962,0.9865514992883928
eh,^,αι,716,0.03283499954141062,48447,0.01344850071160715
eh,γ,ε,2639,0.9748799408939786,214381,0.9885549863277737
eh,γ,αι,68,0.025120059106021424,2482,0.011445013672226244
eh,μ,ε,24541,0.9764841636161069,2563583,0.9707559533794732
eh,μ,αι,591,0.023515836383893044,77228,0.0292440466205268
eh,ν,ε,7499,0.9544355351915489,633838,0.5694727706271012
